id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,listing_id_x,avg_price,price_std,availability_rate,listing_id_y,review_count,avg_sentiment,room_type_encoded,neighbourhood_group_encoded
20,Listing 20,4385,Host 20,Gràcia,El Raval,41.40399853797159,2.145701870864706,Private room,312,1,12,2025-06-17,0.585058624289731,9,121,20,314.06772602739727,36.75134908985971,0.6821917808219178,20.0,3.0,0.6666666666666666,1,2
21,Listing 21,7396,Host 21,Ciutat Vella,La Barceloneta,41.42798453951512,2.112137892457688,Entire home/apt,341,7,68,2026-03-31,3.998589568093598,6,69,21,342.14339726027396,40.41698144315539,0.6821917808219178,21.0,4.0,1.5,0,0
22,Listing 22,9666,Host 22,Ciutat Vella,El Raval,41.36069806388269,2.1604470268147744,Private room,323,10,25,2025-07-22,0.6161628785816242,5,351,22,322.40747945205476,38.58515180458969,0.7315068493150685,22.0,4.0,0.25,1,0
23,Listing 23,3558,Host 23,Horta-Guinardó,Sants,41.426102790250205,2.126028677247976,Private room,52,7,48,2000-01-01,3.4926531260456857,6,360,23,52.74997260273973,6.25451417191774,0.6931506849315069,23.0,1.0,-1.0,1,3
24,Listing 24,8849,Host 24,Gràcia,Barri Gòtic,41.404126657867614,2.204242663335369,Entire home/apt,77,13,194,2026-03-13,2.080726838203033,6,47,24,76.40876712328767,8.820907410338988,0.6712328767123288,24.0,4.0,0.5,0,2
25,Listing 25,3047,Host 25,Gràcia,Barri Gòtic,41.4462992003859,2.151914958980668,Entire home/apt,375,9,6,2025-06-05,2.5692536728829896,9,38,25,372.0254520547945,42.76107752019285,0.6904109589041096,25.0,6.0,0.6666666666666666,0,2
26,Listing 26,3747,Host 26,Gràcia,La Barceloneta,41.38418721660387,2.246341530128987,Entire home/apt,477,1,57,2025-10-19,4.516490071878553,4,286,26,474.56158904109594,56.09970393445891,0.6712328767123288,26.0,8.0,0.25,0,2
27,Listing 27,1189,Host 27,Sants-Montjuïc,Barri Gòtic,41.4132621893134,2.1961458116018,Entire home/apt,198,2,48,2025-04-27,4.449418632367433,2,9,27,197.13268493150684,23.274055484710946,0.6328767123287671,27.0,3.0,1.0,0,4
28,Listing 28,3734,Host 28,Horta-Guinardó,Barri Gòtic,41.44320281055101,2.2233720845451543,Entire home/apt,77,11,102,2000-01-01,4.089281528275148,9,29,28,77.94882191780822,8.745358925120719,0.6931506849315069,28.0,3.0,1.0,0,3
29,Listing 29,4005,Host 29,Gràcia,La Barceloneta,41.36025097279907,2.1198787009112774,Private room,359,9,52,2025-11-25,2.5507419022816165,2,243,29,361.5022739726027,41.094907829135856,0.6575342465753424,29.0,5.0,-0.2,1,2
30,Listing 30,5658,Host 30,Sants-Montjuïc,Poble Sec,41.443722848723645,2.229302172340893,Shared room,487,13,192,2025-12-24,3.6811990506691656,9,273,30,487.03794520547945,54.862453321943995,0.6794520547945205,30.0,4.0,0.5,2,4
31,Listing 31,2899,Host 31,Eixample,Poble Sec,41.418788572230085,2.238413578577009,Private room,114,9,61,2025-10-10,2.5644852775940468,2,87,31,113.18378082191781,13.35467181522961,0.6904109589041096,31.0,3.0,1.0,1,1
32,Listing 32,8734,Host 32,Eixample,La Barceloneta,41.35678370591052,2.1730592878228405,Private room,405,13,16,2025-06-01,4.348030412373888,8,243,32,404.2178904109589,45.3649947972552,0.7123287671232876,32.0,5.0,0.4,1,1
33,Listing 33,2267,Host 33,Sants-Montjuïc,Sants,41.380096356694686,2.190937940662647,Private room,70,6,170,2026-01-29,2.0138791661644992,9,328,33,70.84821917808219,8.012321648160865,0.6904109589041096,33.0,1.0,1.0,1,4
34,Listing 34,2528,Host 34,Sants-Montjuïc,Barri Gòtic,41.42081720886453,2.214721470135449,Private room,301,6,24,2026-01-05,4.851176722074384,9,14,34,302.60542465753423,34.916699697207854,0.726027397260274,34.0,3.0,0.6666666666666666,1,4
35,Listing 35,4556,Host 35,Horta-Guinardó,Barri Gòtic,41.35673506014688,2.126225794089062,Entire home/apt,284,4,130,2025-04-28,4.661613791144388,9,3,35,282.9634794520548,32.11213234323414,0.673972602739726,35.0,5.0,0.6,0,3
36,Listing 36,4890,Host 36,Horta-Guinardó,Sants,41.40821704601763,2.1753849114695165,Shared room,276,4,28,2025-05-26,3.708013097258928,2,190,36,272.5423835616438,32.99465504609371,0.6821917808219178,36.0,2.0,1.0,2,3
37,Listing 37,9838,Host 37,Eixample,Poble Sec,41.384588305695296,2.159799454165847,Private room,62,5,116,2000-01-01,1.39707942088036,4,167,37,62.69682191780822,7.049505304408314,0.6876712328767123,37.0,2.0,1.5,1,1
38,Listing 38,6393,Host 38,Gràcia,Sant Pere,41.41209155177675,2.1219560988243376,Entire home/apt,362,3,159,2025-07-23,0.658267943966292,7,8,38,368.4302739726027,42.340335027658945,0.7068493150684931,38.0,2.0,1.5,0,2
39,Listing 39,9792,Host 39,Eixample,Sant Pere,41.35457420338125,2.15513016334373,Entire home/apt,98,1,25,2026-01-29,4.273517250465988,2,108,39,99.4331506849315,11.667990951663901,0.7178082191780822,39.0,9.0,0.5555555555555556,0,1
40,Listing 40,9433,Host 40,Gràcia,Sant Pere,41.43715368061524,2.110225846407824,Entire home/apt,167,1,123,2025-12-05,0.8265114306898064,1,136,40,167.98153424657534,18.746942383720125,0.7397260273972602,40.0,4.0,1.25,0,2
41,Listing 41,8513,Host 41,Gràcia,Poble Sec,41.44734889691775,2.103871786042423,Entire home/apt,103,12,143,2025-05-30,4.271303944986679,3,153,41,104.57928767123288,11.446368157485068,0.7150684931506849,41.0,2.0,0.0,0,2
42,Listing 42,3612,Host 42,Horta-Guinardó,Poble Sec,41.446887785528574,2.1202749433732238,Private room,187,13,24,2025-12-31,2.4538250335618024,4,208,42,187.63350684931507,21.49410722408655,0.6767123287671233,42.0,8.0,0.5,1,3
43,Listing 43,8041,Host 43,Ciutat Vella,Sants,41.42496518317429,2.244467266738376,Entire home/apt,102,7,53,2026-03-25,2.032783919040521,8,271,43,102.15216438356164,11.397431823472607,0.6657534246575343,43.0,2.0,0.0,0,0
44,Listing 44,7235,Host 44,Ciutat Vella,Barri Gòtic,41.36300862401306,2.1824294303842526,Entire home/apt,93,1,155,2026-04-06,4.515953894172146,6,142,44,93.48545205479452,11.00030806891421,0.7041095890410959,44.0,7.0,-0.14285714285714285,0,0
45,Listing 45,6486,Host 45,Sants-Montjuïc,Sants,41.42582631959291,2.244873324172983,Shared room,352,1,72,2025-09-29,3.0192549127013897,2,98,45,351.39257534246576,40.877660117062604,0.736986301369863,45.0,5.0,0.8,2,4
46,Listing 46,8099,Host 46,Horta-Guinardó,Sants,41.35245869164588,2.16487468174952,Entire home/apt,102,3,119,2026-01-04,2.883070035648589,9,307,46,101.68246575342465,11.600810645796297,0.6876712328767123,46.0,5.0,1.0,0,3
47,Listing 47,1775,Host 47,Gràcia,Poble Sec,41.3522123551529,2.146772419962789,Entire home/apt,123,10,55,2025-07-06,2.793829723121988,2,68,47,122.70189041095891,14.501264552249607,0.7397260273972602,47.0,6.0,1.1666666666666667,0,2
48,Listing 48,9226,Host 48,Ciutat Vella,Sant Pere,41.38236102191495,2.1759212794260367,Entire home/apt,95,4,64,2025-11-12,1.855847580097657,5,246,48,94.95449315068493,11.331542482418689,0.7342465753424657,48.0,3.0,0.0,0,0
49,Listing 49,4152,Host 49,Gràcia,El Raval,41.39886431904047,2.1659267532949364,Private room,62,4,92,2025-08-10,3.928215517645637,4,260,49,61.98298630136986,7.041195430498374,0.7013698630136986,49.0,10.0,0.6,1,2
50,Listing 50,2585,Host 50,Ciutat Vella,Barri Gòtic,41.42704074178078,2.1158497026392618,Shared room,214,2,85,2025-05-28,1.263992220078865,7,275,50,213.13931506849318,24.194751776791787,0.7342465753424657,,0.0,0.0,2,0
51,Listing 51,4943,Host 51,Ciutat Vella,Poble Sec,41.418329537660654,2.1961239472035308,Entire home/apt,151,1,79,2025-12-08,4.694474800206375,8,78,51,150.68372602739726,17.538054631412315,0.7013698630136986,51.0,6.0,0.5,0,0
52,Listing 52,8555,Host 52,Ciutat Vella,Sant Pere,41.39459027063768,2.13240572737644,Private room,329,3,168,2000-01-01,4.469926025234804,5,145,52,327.0165753424658,37.3169791297657,0.6904109589041096,52.0,3.0,-0.3333333333333333,1,0
53,Listing 53,4073,Host 53,Horta-Guinardó,El Raval,41.377362666628166,2.1929381932346743,Entire home/apt,307,11,107,2025-07-21,1.6874016283744908,5,110,53,306.7359178082192,34.78300208599174,0.7068493150684931,53.0,5.0,1.0,0,3
54,Listing 54,2021,Host 54,Eixample,El Raval,41.449712450015774,2.197530163859723,Shared room,386,4,178,2025-06-27,3.647318849158319,2,257,54,388.56,44.693396210571926,0.6958904109589041,,0.0,0.0,2,1
55,Listing 55,4843,Host 55,Gràcia,Poble Sec,41.3926181302236,2.122803727969297,Private room,405,3,117,2025-06-28,2.866115972247957,8,92,55,407.3028219178082,47.516140080122284,0.7013698630136986,55.0,4.0,0.5,1,2
56,Listing 56,8989,Host 56,Horta-Guinardó,La Barceloneta,41.395138702432966,2.1092024440666,Private room,447,8,198,2025-12-31,1.688246509996173,2,12,56,448.01443835616436,50.49337125491263,0.7041095890410959,56.0,4.0,1.0,1,3
57,Listing 57,7873,Host 57,Horta-Guinardó,Barri Gòtic,41.36636238211917,2.217114237910266,Entire home/apt,187,10,156,2026-02-11,4.9426082399772335,6,259,57,187.88509589041095,21.34226128641721,0.7342465753424657,57.0,6.0,-0.16666666666666666,0,3
58,Listing 58,6675,Host 58,Horta-Guinardó,El Raval,41.429480954875,2.168970063565398,Shared room,212,1,82,2026-03-07,0.126186729241321,8,108,58,210.26435616438357,24.833263637604638,0.684931506849315,58.0,6.0,1.1666666666666667,2,3
59,Listing 59,1161,Host 59,Horta-Guinardó,Poble Sec,41.41936822257815,2.1087245693258216,Private room,458,2,146,2026-02-25,1.2632301531064334,6,329,59,457.96408219178085,55.0071087418352,0.673972602739726,59.0,3.0,1.3333333333333333,1,3
60,Listing 60,5297,Host 60,Horta-Guinardó,Poble Sec,41.37207696127888,2.249229947575465,Entire home/apt,436,13,193,2000-01-01,2.600370305555752,4,188,60,438.7660821917808,49.74473164709585,0.7068493150684931,,0.0,0.0,0,3
61,Listing 61,1995,Host 61,Sants-Montjuïc,Sant Pere,41.35823810456159,2.108667084149455,Private room,160,7,168,2000-01-01,2.6097650173928195,4,94,61,157.68265753424657,18.20241900074133,0.663013698630137,61.0,1.0,1.0,1,4
62,Listing 62,8629,Host 62,Gràcia,La Barceloneta,41.418049930207474,2.204255284328783,Entire home/apt,151,4,172,2025-06-21,2.944665374727821,6,104,62,151.53830136986304,17.03650604776461,0.7095890410958904,62.0,7.0,0.5714285714285714,0,2
63,Listing 63,2016,Host 63,Horta-Guinardó,Barri Gòtic,41.41545112142811,2.247551838789512,Private room,66,8,14,2000-01-01,3.758380860114596,4,7,63,66.08265753424656,7.726521814288806,0.6602739726027397,63.0,4.0,0.0,1,3
64,Listing 64,8869,Host 64,Gràcia,Sants,41.37732595269982,2.135877015632389,Entire home/apt,317,11,130,2025-08-26,3.117389152596482,8,66,64,319.5452602739726,35.26175070686139,0.7013698630136986,64.0,4.0,0.0,0,2
65,Listing 65,7439,Host 65,Sants-Montjuïc,Sant Pere,41.44508635622504,2.12133740530308,Private room,231,13,138,2025-07-13,3.001407302640185,9,190,65,232.26504109589044,26.173894674458072,0.7479452054794521,65.0,3.0,0.3333333333333333,1,4
66,Listing 66,8892,Host 66,Sants-Montjuïc,El Raval,41.365105789178095,2.1182077409133644,Entire home/apt,421,3,180,2026-04-17,0.2675723145652164,1,255,66,419.5822191780822,49.25510756419704,0.6794520547945205,66.0,6.0,-0.3333333333333333,0,4
67,Listing 67,7863,Host 67,Gràcia,El Raval,41.39323348010426,2.14549127213514,Entire home/apt,73,6,173,2026-02-23,1.882651438946492,4,8,67,72.61443835616438,8.635711092379843,0.6794520547945205,67.0,4.0,1.0,0,2
68,Listing 68,8916,Host 68,Ciutat Vella,Sant Pere,41.44436159201676,2.115156871651597,Entire home/apt,78,9,29,2025-07-22,1.16027869850578,4,116,68,78.37824657534247,8.975516342826872,0.7315068493150685,68.0,7.0,0.5714285714285714,0,0
69,Listing 69,9529,Host 69,Eixample,Poble Sec,41.39197273169261,2.20382420125412,Entire home/apt,220,1,56,2025-05-29,1.3268505580098773,2,266,69,222.04643835616437,25.264372591550323,0.6958904109589041,69.0,9.0,0.7777777777777778,0,1
70,Listing 70,1878,Host 70,Ciutat Vella,El Raval,41.41385259476641,2.109343769719509,Entire home/apt,458,1,145,2025-11-23,2.7716873717017245,6,98,70,457.9431780821918,52.987940845412,0.7315068493150685,70.0,3.0,1.0,0,0
71,Listing 71,5887,Host 71,Ciutat Vella,La Barceloneta,41.38975943979628,2.1764133192224686,Entire home/apt,277,8,178,2025-09-02,0.9975265746480422,3,297,71,277.55164383561646,30.883080150756875,0.7287671232876712,71.0,6.0,0.16666666666666666,0,0
72,Listing 72,5859,Host 72,Ciutat Vella,Barri Gòtic,41.37742152023487,2.2495045280779467,Entire home/apt,427,3,127,2000-01-01,1.4697455050844876,7,163,72,428.44989041095886,47.791461798809614,0.6876712328767123,72.0,5.0,0.2,0,0
73,Listing 73,7331,Host 73,Horta-Guinardó,La Barceloneta,41.44839776479599,2.222095540425902,Entire home/apt,237,5,47,2025-12-09,1.1854235425867006,5,140,73,236.64071232876714,27.49760593049468,0.6575342465753424,73.0,4.0,1.0,0,3
74,Listing 74,9571,Host 74,Sants-Montjuïc,El Raval,41.3909334006315,2.192282915734652,Entire home/apt,395,1,193,2026-01-21,4.742514716090974,4,267,74,394.5815068493151,45.41050775405852,0.6712328767123288,74.0,8.0,0.0,0,4
75,Listing 75,9684,Host 75,Ciutat Vella,Sants,41.43940992036792,2.145938043117992,Private room,279,5,135,2026-02-27,4.723328660855476,5,36,75,278.49780821917807,31.790490485250277,0.6904109589041096,75.0,4.0,-0.5,1,0
76,Listing 76,8208,Host 76,Sants-Montjuïc,Barri Gòtic,41.37299546058911,2.193584375443746,Entire home/apt,370,11,21,2025-11-21,3.0497077929802585,8,73,76,368.0141917808219,42.595861774915825,0.7616438356164383,76.0,6.0,0.16666666666666666,0,4
77,Listing 77,6276,Host 77,Gràcia,Barri Gòtic,41.37131047040251,2.179056219586748,Shared room,389,6,5,2025-08-06,4.622612343659499,3,72,77,384.9389041095891,44.07736690775663,0.6767123287671233,77.0,2.0,2.0,2,2
78,Listing 78,3062,Host 78,Eixample,Sant Pere,41.35311340828845,2.163912507583556,Private room,168,8,184,2026-02-03,3.9290632273418655,7,307,78,167.53558904109588,19.475338575563875,0.6876712328767123,78.0,5.0,0.6,1,1
79,Listing 79,1064,Host 79,Gràcia,Sant Pere,41.41516668253759,2.11960655651103,Private room,205,13,103,2026-01-30,2.949739414009044,6,198,79,202.13928767123286,22.72844155535415,0.7123287671232876,79.0,4.0,-0.25,1,2
80,Listing 80,9006,Host 80,Gràcia,Sants,41.38685263437238,2.23299063228607,Entire home/apt,321,3,35,2025-07-25,0.0321760574839785,1,129,80,323.37613698630133,37.47745491717781,0.7041095890410959,80.0,4.0,0.75,0,2
81,Listing 81,3568,Host 81,Horta-Guinardó,Poble Sec,41.43643582498397,2.1674676973231985,Private room,224,3,78,2025-06-20,3.86258143039702,7,245,81,224.2229589041096,26.117291533484273,0.7397260273972602,81.0,2.0,0.0,1,3
82,Listing 82,6463,Host 82,Eixample,Barri Gòtic,41.39732099066916,2.129193376773115,Entire home/apt,153,12,115,2026-04-13,3.512441707942344,7,311,82,154.97372602739728,17.4572779253266,0.7041095890410959,82.0,8.0,0.25,0,1
83,Listing 83,3027,Host 83,Gràcia,Sants,41.44681934279148,2.1551639026315934,Entire home/apt,141,11,56,2000-01-01,3.07626826641207,1,59,83,141.80547945205478,16.698997423440304,0.7123287671232876,83.0,3.0,1.3333333333333333,0,2
84,Listing 84,3695,Host 84,Gràcia,Sant Pere,41.36855255157031,2.162119462879339,Entire home/apt,235,11,48,2025-11-16,3.802121558412359,9,278,84,233.39649315068493,26.67706836740521,0.7397260273972602,84.0,7.0,-0.14285714285714285,0,2
85,Listing 85,6258,Host 85,Eixample,Sant Pere,41.43686231679556,2.224130684335031,Private room,332,10,172,2025-12-20,2.5646108238738288,6,102,85,332.445397260274,39.88615749261662,0.6876712328767123,85.0,5.0,0.4,1,1
86,Listing 86,6618,Host 86,Eixample,Barri Gòtic,41.42765968527917,2.21004215708421,Entire home/apt,230,9,81,2026-03-13,3.5204163566066957,2,295,86,228.7709315068493,26.140139825925225,0.7150684931506849,86.0,1.0,-1.0,0,1
87,Listing 87,7736,Host 87,Gràcia,La Barceloneta,41.427092184464406,2.215395734046201,Entire home/apt,219,4,65,2000-01-01,4.675860433632467,5,319,87,219.13013698630138,24.025170814657926,0.684931506849315,87.0,5.0,-0.2,0,2
88,Listing 88,1391,Host 88,Eixample,El Raval,41.43447832281169,2.101654689664297,Shared room,236,4,76,2026-03-18,1.8790250792304315,4,340,88,235.9449589041096,27.587040501627154,0.6931506849315069,88.0,4.0,0.75,2,1
89,Listing 89,6892,Host 89,Gràcia,Sant Pere,41.426102399094304,2.1624230997269644,Private room,224,12,44,2025-07-24,3.540609174503127,7,150,89,222.9158630136986,26.04745653426184,0.673972602739726,89.0,3.0,1.6666666666666667,1,2
90,Listing 90,4561,Host 90,Gràcia,Poble Sec,41.41262203216314,2.1722016227452987,Entire home/apt,271,7,78,2026-02-16,2.3784390900547936,8,156,90,273.42706849315067,30.55780308807346,0.7095890410958904,90.0,8.0,0.625,0,2
91,Listing 91,7184,Host 91,Horta-Guinardó,Poble Sec,41.36312448776824,2.1028788415234585,Entire home/apt,282,2,19,2025-07-15,3.371998259069908,1,205,91,282.2312602739726,32.5208221641385,0.7287671232876712,91.0,3.0,1.0,0,3
92,Listing 92,4099,Host 92,Ciutat Vella,Sant Pere,41.35325261794912,2.138971981311755,Private room,211,8,191,2000-01-01,3.814466677771821,5,178,92,211.15942465753426,24.592173606455567,0.7041095890410959,92.0,5.0,0.2,1,0
93,Listing 93,7278,Host 93,Gràcia,La Barceloneta,41.44208478478157,2.2140434734683203,Entire home/apt,470,6,122,2025-06-16,0.2272625021789798,3,196,93,468.0592602739726,53.95056418703749,0.7287671232876712,93.0,5.0,0.4,0,2
94,Listing 94,9392,Host 94,Sants-Montjuïc,La Barceloneta,41.41166503145208,2.12056645585935,Entire home/apt,183,3,66,2026-01-04,3.2330022197433097,1,222,94,180.66761643835613,21.474735349103028,0.6931506849315069,94.0,2.0,1.0,0,4
95,Listing 95,4104,Host 95,Ciutat Vella,Sants,41.42965372909762,2.180296519717889,Entire home/apt,440,9,82,2025-05-04,1.1337059220347228,3,88,95,438.5857808219178,50.840224008206114,0.6986301369863014,95.0,1.0,1.0,0,0
96,Listing 96,8215,Host 96,Ciutat Vella,Poble Sec,41.39815223515126,2.132280280802586,Shared room,273,5,2,2025-11-14,3.350162689037834,6,286,96,269.8122191780822,31.84056678419283,0.663013698630137,96.0,1.0,-1.0,2,0
97,Listing 97,3454,Host 97,Ciutat Vella,Sants,41.36173081889624,2.101818116196584,Private room,202,8,181,2025-05-14,2.3416509296690675,7,275,97,202.87276712328767,21.517193911044945,0.6904109589041096,97.0,6.0,-0.16666666666666666,1,0
98,Listing 98,9996,Host 98,Horta-Guinardó,Poble Sec,41.36251857922026,2.1361802186399315,Private room,82,7,63,2025-09-10,3.867763709324436,8,235,98,81.98720547945206,9.368843084427724,0.7150684931506849,98.0,6.0,1.0,1,3
99,Listing 99,3731,Host 99,Gràcia,El Raval,41.4185565287229,2.246381063236508,Private room,104,8,39,2025-09-03,0.6170040760279821,4,182,99,104.42506849315069,12.328883415490973,0.6794520547945205,99.0,4.0,0.75,1,2
100,Listing 100,9154,Host 100,Horta-Guinardó,El Raval,41.393030589489946,2.2202305667824485,Entire home/apt,491,7,58,2000-01-01,3.1316117582809757,3,208,100,490.5987397260274,57.7752479849808,0.6328767123287671,100.0,5.0,1.0,0,3
101,Listing 101,6056,Host 101,Gràcia,Barri Gòtic,41.37005247267003,2.243936496648155,Entire home/apt,56,3,182,2025-10-31,1.3923536446377616,5,129,101,55.68728767123288,6.547991935875657,0.7287671232876712,101.0,5.0,0.0,0,2
102,Listing 102,9110,Host 102,Horta-Guinardó,Sants,41.39915945467415,2.1731781065889546,Entire home/apt,293,2,61,2000-01-01,4.264909976652957,9,152,102,292.1667123287671,34.1846324662681,0.6931506849315069,102.0,3.0,0.6666666666666666,0,3
103,Listing 103,4840,Host 103,Horta-Guinardó,Sant Pere,41.35642089370752,2.1164604298016254,Entire home/apt,362,7,131,2025-06-25,4.641917528181537,6,12,103,361.5424383561644,41.23804965523656,0.7150684931506849,103.0,8.0,0.625,0,3
104,Listing 104,2028,Host 104,Sants-Montjuïc,Sants,41.40819714019144,2.182193923346054,Entire home/apt,175,3,59,2026-03-17,4.981991468395277,9,121,104,175.5627397260274,20.23173796401853,0.6712328767123288,104.0,3.0,1.0,0,4
105,Listing 105,8385,Host 105,Horta-Guinardó,Sant Pere,41.37689934044352,2.1681566001839943,Private room,61,3,115,2026-03-23,3.9800370121364166,6,358,105,60.81268493150685,7.185500733652198,0.7150684931506849,105.0,3.0,0.3333333333333333,1,3
106,Listing 106,1502,Host 106,Eixample,La Barceloneta,41.42975591006372,2.2266535624109425,Private room,65,2,74,2026-04-06,3.768670352140023,2,219,106,65.27958904109589,6.794754408218992,0.726027397260274,106.0,7.0,0.7142857142857143,1,1
107,Listing 107,7910,Host 107,Sants-Montjuïc,Sants,41.38103619589236,2.114712387117637,Private room,257,4,121,2026-03-17,1.0775037943377552,5,105,107,258.1451780821918,29.33459046184817,0.7068493150684931,107.0,5.0,0.6,1,4
108,Listing 108,7938,Host 108,Horta-Guinardó,La Barceloneta,41.39552201490818,2.173236170553267,Entire home/apt,92,8,106,2025-12-01,1.6800352949505435,9,69,108,92.6463287671233,10.401221858769839,0.7397260273972602,108.0,8.0,0.875,0,3
109,Listing 109,5488,Host 109,Ciutat Vella,El Raval,41.35116205399081,2.1225072997040977,Private room,422,12,95,2026-01-03,2.3284127088113977,8,194,109,420.2998904109589,48.1724160331561,0.7205479452054795,109.0,3.0,0.6666666666666666,1,0
110,Listing 110,1206,Host 110,Eixample,El Raval,41.35724468877946,2.148701389033509,Private room,184,1,90,2025-07-04,3.8669052389112486,7,185,110,184.60487671232877,21.895125876353205,0.7150684931506849,110.0,3.0,-0.3333333333333333,1,1
111,Listing 111,6134,Host 111,Eixample,Barri Gòtic,41.38924935564067,2.21060356160817,Entire home/apt,277,1,157,2025-12-19,4.574829325389843,1,98,111,279.2334794520548,31.370835955939086,0.7068493150684931,111.0,1.0,1.0,0,1
